"","area_name","area_code","covid_rate","area","popden","under15","age_15_64","over_65","white","black","asian_indian","asian_bang","asian_chin","mixed_ethnicity","other_ethnicity","BAME","imd","imd_income","imd_emp","imd_edu","imd_health","imd_crime","imd_house","imd_living_env","imd_daci","imd_daopi"
"40","Essex","E10000012",15.7557439901492,346438.95,4,17.3931013994821,64.2777236010382,18.3291749994798,94.1236535645066,1.34250678285604,0.893808567387612,0.197117223395454,0.456448000734794,1.49865060451913,0.378663118987189,2.8898805743739,17.163,0.12,0.099,23.333,-0.442,-0.068,22.636,12.796,0.168,0.133
"41","Gateshead","E08000037",39.3279191265346,14234.74,14.1,16.5118323393968,65.8845035811681,17.603664079435,96.2245397424756,0.539922283157022,0.45751046380373,0.120870668384828,0.526436712717392,0.778167360923812,0.546914801162756,1.64474012806297,25.932,0.185,0.165,26.145,0.779,-0.301,18.009,8.557,0.227,0.221
"42","Gloucestershire","E10000013",13.5899789609102,265324.94,2.3,16.659910483363,64.6871607949292,18.6529287217078,95.2983664553824,0.86266968628975,0.959657210243491,0.160808329871487,0.32010908165043,1.45079265105932,0.183086983905766,2.30324430805516,15.014,0.107,0.091,17.08,-0.419,-0.359,20.714,18.078,0.146,0.118
"43","Greenwich","E09000011",17.8152633791253,4734.38,53.8,20.5274260774601,69.2131821163826,10.2593918061574,62.293317410246,19.1135973475489,3.07828894903695,0.646220689275879,1.9881598227509,4.82170987244507,1.85891568489572,24.8262668086126,25.544,0.189,0.128,16.795,0.15,0.604,27.854,24.811,0.267,0.245
"44","Hackney and City of London","E09000012",22.1667275754253,1906.35,129.2,19.6479473748325,73.2886669103017,7.0633857148658,54.4698907702928,23.0876680066594,3.08563771470337,2.50944085759532,1.3952166321517,6.4437406098997,5.30271653063711,30.0779632111098,35.28,0.234,0.147,17.203,0.502,0.888,37.13,44.154,0.322,0.431
"45","Halton","E06000006",37.758656338969,7909.52,15.9,18.5405499976142,66.7623622222576,14.6970877801282,97.8162327231085,0.206766020390311,0.224261606731029,0.0477152354746871,0.24493820877006,1.07836432172793,0.116107072988405,0.723681071366087,31.943,0.201,0.179,27.276,0.964,0.331,18.737,20.815,0.268,0.207
"46","Hammersmith and Fulham","E09000013",20.7569605409523,1640.4,111.2,15.3868915520047,75.6193388239549,8.99376962404037,67.9505515280038,11.7840136333996,1.89103143682223,0.578652331870264,1.72061394135665,5.50377274744785,5.52733529505241,15.9743113434488,24.362,0.167,0.11,9.059,0.223,0.468,25.016,43.962,0.267,0.275
"47","Hampshire","E10000014",13.4566409771526,367894.9,3.6,17.4110706729762,64.1207083385188,18.468220988505,94.8600230082532,0.629691574061989,0.814319146934105,0.162620998218226,0.425333968741558,1.36979544509436,0.300503571135873,2.03196568795588,11.917,0.086,0.073,16.357,-0.666,-0.431,20.815,12.239,0.118,0.098
"48","Haringey","E09000014",17.667872245279,2958.85,86.2,19.2687289644838,71.9565677882994,8.77470324721684,60.3990962083114,18.7623074931549,2.33204930058135,1.73265967378769,1.46866149392373,6.49129551320775,4.72882326635965,24.2956779614476,31.043,0.21,0.138,18.493,0.098,0.843,34.618,38.179,0.287,0.318
"49","Harrow","E09000015",21.1205742587511,5046.91,47.4,18.79350445084,67.1231845258015,14.0833110233585,42.1700354728599,8.24409343417442,26.3749916337595,0.57643397362961,1.09974231979118,3.97354594739308,2.94909979251723,36.2952613613547,14.302,0.127,0.083,8.932,-0.796,0.148,25.267,15.628,0.169,0.188
