Site,Sp,ID Code,Rep,Tree,IN/OUT,Height,Year,DBH,NYear,NyearQ,sqdbh,ttdbh,sqht
Brighton,BS,S-BS-Mlt,1,27,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,27,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,27,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,28,IN,6.8,5,0.7,5,4,0.836660027,0.788373516,2.607680962
Brighton,BS,S-BS-Mlt,1,28,IN,16.1,10,3.1,10,1,1.760681686,2.12605484,4.01248053
Brighton,BS,S-BS-Mlt,1,28,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,28,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,28,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,29,IN,5.5,5,0.5,5,4,0.707106781,0.629960525,2.34520788
Brighton,BS,S-BS-Mlt,1,29,IN,12.4,10,1.3,10,1,1.140175425,1.191138425,3.521363372
Brighton,BS,S-BS-Mlt,1,29,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,29,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,29,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,30,OUT,,5,,5,4,,,
Brighton,BS,S-BS-Mlt,1,30,OUT,,10,,10,1,,,
Brighton,BS,S-BS-Mlt,1,30,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,30,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,30,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,31,OUT,5.9,5,0.3,5,4,0.547722558,0.448140475,2.42899156
Brighton,BS,S-BS-Mlt,1,31,OUT,12.5,10,2.4,10,1,1.549193339,1.792561899,3.535533906
Brighton,BS,S-BS-Mlt,1,31,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,31,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,31,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,32,OUT,4.1,5,0,5,4,0,0,2.024845673
